Material	Material_Descr	Average_Price	Base UoM	No. Cases/Truck	Plant	Plant Descr.	Material Group	Material Grp. Descr.	Purchasing Group	Purch Grp. Descr.	Product Hierarchy	Product Hier. Descr.	Weight of a Truck	FDC_ID	Team Member
100912	FLOUR BREAD-BULK	0.3573	lb	0	1000	DOMESTIC STATISTICAL 1000	506015	FLOUR, BAKERY	210	AMS-DOMESTIC	10080	FLOUR	45000	2343066	Dojun
100935	SUNFLOWER SEED BUTTER 6-5#'S	1.9337	lb	1232	1000	DOMESTIC STATISTICAL 1000	601050	SEED BUTTER	210	AMS-DOMESTIC	102402000531175	OIL/BUTTERY SPREAD/TUB	36960	2024383	Dojun
101031	RICE BRN US#1 LONG PARBOILED BAG-25 LB	0.8073	lb	1680	1000	DOMESTIC STATISTICAL 1000	507010	RICE, GRAIN	210	AMS-DOMESTIC	103202006031460	RICE/PARBOIL/PACKAGE	42000	505069	Dojun
110053	K APPLESAUCE CAN-6/10	0.6921	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	36936	171695	Dojun
110054	K PEACHES CLING CAN-6/10	1.2153	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	794295	Dojun
110059	K CORN WHOLE KERNEL(LIQ) CAN-6/10	0.6498	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602004031220	VEGETABLES/CORN/CANNED	36252	169217	Dojun
110066	K BEANS GREAT NORTHERN DRY BAG-25 LB	0.73	lb	1600	1000	DOMESTIC STATISTICAL 1000	704010	BEANS, DRY	110	AMS-FRUIT & VEG	103602002031340	VEGETABLES/BEANS/DRY	40000	747446	Dojun
110073	K SUNFLOWER SEED BUTTER 6-5#'S	1.85	lb	1232	1000	DOMESTIC STATISTICAL 1000	601051	SEED BUTTER, KOSHER	210	AMS-DOMESTIC	102402000531175	OIL/BUTTERY SPREAD/TUB	36960	170155	Dojun
110080	CHICKEN OVEN ROASTED FRZ 8 PC CTN-30 LB	4.7234	lb	1200	1000	DOMESTIC STATISTICAL 1000	301030	CHICKEN, COOKED	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	36000	174608	Dojun
110101	K TOMATO SAUCE CAN-6/10	0.7345	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	36252	170054	Dojun
110161	FRUIT MIX DRIED PKG-5/5 LB	3.3016	lb	1456	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202010031340	FRUIT/FRUIT NUT MIX/DRIED	36400	2344690	Yazda
110177	SPAGHETTI SAUCE MEATLESS POUCH-6/106 OZ	0.9447	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	2345258	Yazda
110186	TOMATO SALSA POUCH-6/106 OZ	0.9388	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	2345251	Yazda
110187	TOMATO SAUCE POUCH-6/106 OZ	0.9665	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	170463	Yazda
110208	FLOUR WHITE WHOLE WHEAT BLEND BAG-25 LB	0.3961	lb	1728	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802007031100	FLOUR/WHOLE WHEAT/BAG	43200	2261421	Yazda
110227	POTATO FOR PROCESS INTO DEHY PRD-BULK	0.1537	lb	0	1000	DOMESTIC STATISTICAL 1000	703030	VEGETABLE, FRESH	110	AMS-FRUIT & VEG	103602007031380	VEGETABLES/POTATO/FRESH	40000	2344877	Yazda
110242	CHEESE NAT AMER FBD BARREL-500 LB(40800)	2.1037	lb	0	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402001031180	CHEESE/AMERICAN/BULK	40800	2341167	Yazda
110244	CHEESE MOZ LM PT SKM UNFZ PROC PK(41125)	2.0065	lb	0	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031180	CHEESE/MOZZARELLA/BULK	41125	1948692	Yazda
110253	CHEESE CHED WHT BLOCK-40 LB (40800)	2.1037	lb	0	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402002031120	CHEESE/CHEDDAR WHITE/BLOCK	40800	1898423	Yazda
110349	BEEF 100% PTY 85/15 FRZ 2.0MMA CTN-40 LB	3.6682	lb	950	1000	DOMESTIC STATISTICAL 1000	101030	BEEF, GROUND	130	AMS-LIVESTOCK	101802001031400	MEAT/BEEF/FROZEN	38000	2341260	Yazda
110361	APPLESAUCE CUP-96/4.5	0.844	lb	1400	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	37800	461425	Yazda
110381	BEANS PINTO DRY TOTE-2000 LB	0.5168	lb	0	1000	DOMESTIC STATISTICAL 1000	704010	BEANS, DRY	110	AMS-FRUIT & VEG	103602002031340	VEGETABLES/BEANS/DRY	44000	2342853	Yazda
110393	PANCAKES WHOLE WHEAT FZN-144 COUNT	1.2171	lb	2100	1000	DOMESTIC STATISTICAL 1000	503040	PANCAKES	210	AMS-DOMESTIC	101402006031460	GRAIN-PROCESSED/WHOLE WHEAT PANCAKES/PAC	22680	2343792	Yazda
110394	"TORTILLA WHOLE WHEAT FZN 8"" CTN-12/24"	1.0282	lb	1500	1000	DOMESTIC STATISTICAL 1000	502030	TORTILLAS	210	AMS-DOMESTIC	101402007031460	GRAIN-PROCESSED/WHOLE WHEAT TORTILLA/PAC	40500	2343305	Yazda
110396	CHEESE MOZ LM PT SKM STRING BOX-360/1 OZ	3.7032	lb	1680	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031580	CHEESE/MOZZARELLA/STRING	37800	2431005	Yazda
110398	YOGURT HI PROTEIN VANILLA TUB-6/32 OZ	1.7093	lb	2860	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031175	YOGURT/HIGH PROTEIN/TUB	34320	2340832	Yazda
110400	YOGURT HI PROTEIN BLUEBERRY CUP-24/4 OZ	1.6973	lb	4900	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031300	YOGURT/HIGH PROTEIN/CUP	29400	170914	Yazda
110401	YOGURT HI PROTEIN STRAWBERRY CUP-24/4 OZ	1.6994	lb	4900	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031300	YOGURT/HIGH PROTEIN/CUP	29400	330415	Yazda
110402	YOGURT HI PROTEIN VANILLA CUP-24/4 OZ	1.6868	lb	4900	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031300	YOGURT/HIGH PROTEIN/CUP	29400	2340832	Yazda
110425	SPINACH CHOPPED FRZ IQF CTN-20 LB (1902)	0.9111	lb	1902	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602009031400	VEGETABLES/SPINACH/FROZEN	38040	2345120	Yazda
110462	CHICKEN STRIPS FRZ CTN-30 LB	2.5656	lb	1300	1000	DOMESTIC STATISTICAL 1000	301030	CHICKEN, COOKED	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	39000	2107024	Yazda
110473	BROCCOLI FRZ CTN-30 LB	1.8002	lb	1134	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602010531400	VEGETABLES/BROCCOLI/FROZEN	34020	168511	Yazda
110480	CARROTS DICED FRZ CTN-30 LB	0.6559	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602003031400	VEGETABLES/CARROTS/FROZEN	39600	746764	Yazda
110482	FLOUR HIGH GLUTEN BAG-50 LB	0.3972	lb	864	1000	DOMESTIC STATISTICAL 1000	506015	FLOUR, BAKERY	210	AMS-DOMESTIC	100802002031100	FLOUR/BAKER/BAG	43200	2671058	Yazda
110483	K BEANS GARBANZO CAN-6/10	0.7346	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	2644282	Yazda
110501	WHOLE GRAIN BLEND MACARONI CTN-20 LB	2.7004	lb	2000	1000	DOMESTIC STATISTICAL 1000	504010	PASTA, MACARONI	210	AMS-DOMESTIC	102602005031240	PASTA/WHOLE GRAIN MACARONI/CARTON	40000	2657989	Yazda
110504	WHOLE GRAIN BLEND ROTINI MAC CTN-20 LB	2.9035	lb	1400	1000	DOMESTIC STATISTICAL 1000	504010	PASTA, MACARONI	210	AMS-DOMESTIC	102602005031240	PASTA/WHOLE GRAIN MACARONI/CARTON	28000	2666670	Yazda
110506	WHOLE GRAIN BLEND SPAGHETTI CTN-20 LB	2.71	lb	2000	1000	DOMESTIC STATISTICAL 1000	504020	PASTA, OTHER	210	AMS-DOMESTIC	102602006031240	PASTA/WHOLE GRAIN SPAGHETTI/CARTON	40000	2099117	Yazda
110520	WHOLE GRAIN BLEND PENNE CTN-2/10 LB	2.7398	lb	1890	1000	DOMESTIC STATISTICAL 1000	504010	PASTA, MACARONI	210	AMS-DOMESTIC	102602007031240	PASTA/WHOLE GRAIN PENNE/CARTON	37800	2403580	Yazda
110541	APPLESAUCE UNSWEETENED CAN-6/10	0.741	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	36252	2344713	Yazda
110543	APPLES GRANNY SMITH FRESH CTN-40 LB	0.7104	lb	924	1000	DOMESTIC STATISTICAL 1000	702030	FRUIT, FRESH	110	AMS-FRUIT & VEG	101202001031380	FRUIT/APPLES/FRESH	35574	1750342	Yazda
110554	TURKEY BREAST DELI SLICED FRZ PKG-8/5 LB	4.1514	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	172941	Yazda
110562	SWEET POTATOES CHUNK FRZ PKG-6/5 LB	0.7215	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602010031400	VEGETABLES/SWEET POTATO/FROZEN	39600	2430122	Yazda
110601	FISH AK PLCK FRZ BULK CTN-49.5 LB	2.0908	lb	0	1000	DOMESTIC STATISTICAL 1000	205030	FISH, FROZEN	130	AMS-LIVESTOCK	100602001531400	FISH/POLLOCK/FROZEN	39600	173725	Yazda
110623	BLUEBERRY HIGHBUSH FRZ CTN-12/2.5 LB	1.3476	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202004031400	FRUIT/BLUEBERRY/FROZEN	39600	2344771	Malena
110624	BLUEBERRY HIGHBUSH FRZ CTN-30 LB	0.9195	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202004031400	FRUIT/BLUEBERRY/FROZEN	39600	2344771	Malena
110630	K OIL VEGETABLE BTL-6/1 GAL	0.9748	lb	800	1000	DOMESTIC STATISTICAL 1000	601011	VEG OIL PROD, KOSHER	210	AMS-DOMESTIC	102402005031140	OIL/VEGETABLE/BOTTLE	36960	171422	Malena
110651	ORANGE JUICE SINGLE FRZ CUP-96/4 OZ	1.1537	lb	1408	1000	DOMESTIC STATISTICAL 1000	702050	FRUIT, JUICE	110	AMS-FRUIT & VEG	101202012031420	FRUIT/ORANGE/JUICE	38016	2487997	Malena
110700	PEANUTS RAW SHELLED-BULK 44000 LB	0.5907	lb	0	1000	DOMESTIC STATISTICAL 1000	701014	PEANUTS RAW SHELLED	210	AMS-DOMESTIC	102202003031180	NUTS/PEANUTS/BULK	44000	2515376	Malena
110711	BEEF PATTY CKD FRZ 2.0 MMA CTN-40 LB	5.4627	lb	950	1000	DOMESTIC STATISTICAL 1000	101040	BEEF, COOKED	130	AMS-LIVESTOCK	101802001031280	MEAT/BEEF/COOKED	38000	2341259	Malena
110721	SWEET POTATOES CRINKLE FRZ PKG-6/5 LB	1.5115	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602010031400	VEGETABLES/SWEET POTATO/FROZEN	39600	2345210	Malena
110723	CRANBERRIES DRIED PKG-300/1.16 OZ	2.6393	lb	1500	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202006031340	FRUIT/CRANBERRY/DRIED	32625	2345210	Malena
110724	PEPPERS/ONION BLEND FRZ CTN-30 LB	1.6238	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602005031400	VEGETABLES/MIXED VEGETABLES/FROZEN	39600	170471	Malena
110730	PORK PULLED CKD PKG-8/5 LB	2.5782	lb	1000	1000	DOMESTIC STATISTICAL 1000	102030	PORK, COOKED	130	AMS-LIVESTOCK	101802006031280	MEAT/PORK/COOKED	40000	167903	Malena
110763	PEAS GREEN FRZ CTN-12/2.5 LB	1.006	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602006031400	VEGETABLES/PEAS/FROZEN	39600	2345483	Malena
110844	POTATOES DICED FRZ PKG-6/5 LB	0.9348	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602007031400	VEGETABLES/POTATO/FROZEN	39600	170116	Malena
110845	EGGS WHOLE FRZ CTN-12/2 LB	1.3449	lb	1600	1000	DOMESTIC STATISTICAL 1000	304010	EGG PRODUCTS	120	AMS-POULTRY	102802002031400	POULTRY/EGGS/EGGS/FROZEN	38400	323604	Malena
110846	STRAWBERRY WHOLE UNSWT IQF CTN-6/5 LB	1.6391	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	39600	2344779	Malena
110851	FISH AK POLLOCK STICKS BRD FRZ CTN-40 LB	2.9564	lb	950	1000	DOMESTIC STATISTICAL 1000	205030	FISH, FROZEN	130	AMS-LIVESTOCK	100602001531400	FISH/POLLOCK/FROZEN	38000	175129	Malena
110854	PEANUT BUTTER SMOOTH PKG-120/1.1 OZ	1.7887	lb	3780	1000	DOMESTIC STATISTICAL 1000	701010	PEANUT PRODUCTS	210	AMS-DOMESTIC	102202002031200	NUTS/PEANUT BUTTER/CANNED	31185	467670	Malena
110855	FLOUR WHITE WHOLE WHEAT 100% BAG-50 LB	0.467	lb	800	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802007031100	FLOUR/WHOLE WHEAT/BAG	40000	2671058	Malena
110857	FLOUR WHITE WHOLE WHEAT 100% BAG-8/5 LB	0.3725	lb	1000	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802007031100	FLOUR/WHOLE WHEAT/BAG	40000	2671058	Malena
110859	MIXED BERRY FRZ CUP-96/4.OZ	1.8199	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	33600	2453702	Malena
110860	STRAWBERRY SLICES UNSWT IQF CTN-6/5 LB	1.6845	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	39600	2344779	Malena
110872	CHERRIES SWEET PITTED IQF BAG-12/2.5 LB	1.6581	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202005031240	FRUIT/CHERRY/CARTON	39600	167770	Malena
110910	TURKEY BREAST SMKD SLC FRZ PKG-8/5 LB	4.2958	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	1655047	Malena
110911	TURKEY HAM SMKD SLC FRZ PKG-8/5 LB	3.5097	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	2122879	Malena
110921	CHICKEN FILLETS UNBRD FRZ CTN-30 LB	2.809	lb	1300	1000	DOMESTIC STATISTICAL 1000	301030	CHICKEN, COOKED	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	39000	2341496	Malena
110931	EGG PATTY ROUND FRZ CTN-25 LB	2.5295	lb	1584	1000	DOMESTIC STATISTICAL 1000	304010	EGG PRODUCTS	120	AMS-POULTRY	102802002031400	POULTRY/EGGS/EGGS/FROZEN	39600	2588069	Malena
111021	K TUNA CHUNK LIGHT CAN 6/66.5 OZ	TBD	lb	1440	1000	DOMESTIC STATISTICAL 1000	205010	FISH, CANNED	130	AMS-LIVESTOCK	100602003031220	FISH/TUNA/CANNED	35910.72	334194	Malena
111052	CARROTS DICED FRZ CTN-12/2 LB	0.7035	lb	1620	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602003031400	VEGETABLES/CARROTS/FROZEN	38880	746764	Malena
111053	CORN FRZ CTN-12/2.5 LB	0.9132	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602004031400	VEGETABLES/CORN/FROZEN	39600	2345434	Malena
111054	BEANS GREEN FRZ CTN-12/2 LB	0.9387	lb	1620	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602002531400	VEGETABLES/BEANS GREEN/FROZEN	38880	2345376	Malena
111110	CHEESE CHED YEL 0.75 OZ SLICE PKG-12 LB	2.851	lb	3120	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402003031440	CHEESE/CHEDDAR YELLOW/LOAVES	37440	170899	Malena
111220	CHEESE PEPPER JACK SHRED-PKG 4/5 LB	2.7244	lb	1940	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402009031540	CHEESE/PEPPER JACK/SHREDDED	38800	391243	Malena
111230	MIXED VEGETABLES FRZ CTN-6/5LB	0.9562	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602002531400	VEGETABLES/BEANS GREEN/FROZEN	39600	170471	Malena
111361	CHICKEN CUT UP FRZ CTN-40 LB	1.819	lb	950	1000	DOMESTIC STATISTICAL 1000	301020	CHICKEN, FROZEN	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	38000	171512	Malena
111368	K CHICKEN CUT UP FRZ CTN-40 LB	5.6	lb	950	1000	DOMESTIC STATISTICAL 1000	301020	CHICKEN, FROZEN	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	38000	171512	Malena
111643	CHERRIES DRIED TART PKG-250/1.36 OZ	5.0051	lb	1584	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202005031340	FRUIT/CHERRY/DRIED	33660	2024023	Malena
100103D	CHICKEN LARGE CHILLED -BULK	1.4099	lb	0	1000	DOMESTIC STATISTICAL 1000	301040	CHICKEN, BULK	120	AMS-POULTRY	102802001031260	POULTRY/EGGS/CHICKEN/CHILLED	36000	2090362	Malena
100103W	CHICKEN LARGE CHILLED -BULK	1.4099	lb	0	1000	DOMESTIC STATISTICAL 1000	301040	CHICKEN, BULK	120	AMS-POULTRY	102802001031260	POULTRY/EGGS/CHICKEN/CHILLED	36000	2090362	Malena
100124D	TURKEY CHILLED -BULK	1.588	lb	0	1000	DOMESTIC STATISTICAL 1000	302040	TURKEY, BULK	120	AMS-POULTRY	102802004031260	POULTRY/EGGS/TURKEY/CHILLED	36000	2341511	Malena
